book_id,composite_id,original_entry,parsing_confidence,needs_review,verification_notes,topic_changed,price_changed,batch_id,created_at
1,symbolkunde_0_1_2,"BECKER, Udo. Lexikon der Symbole. Mit über 900 Abbildungen. Frechen Komet Lizenzausgabe o.J.352 S. OPbd.m.OU Neu.",high,f,"",f,t,,2026-01-26 19:56:38.614712
2,symbolkunde_1_1_2,"BIEDERMANN, Hans. Knaurs Lexikon der Symbole. Mit über 600 Abbildungen. Herausgegeben von Gerhard Riemann. Buchgemeinschaft 1989. 591 S. OLn.m.OU. Neu.",high,f,"",f,t,,2026-01-26 19:56:38.614712
3,symbolkunde_2_1_2,"BRAUEN, Martin. Das Mandala.. Der Heilige Kreis im tantrischen Buddhismus. Mit Photographien von Peter Nebel und Doro Röthlisberger. Köln DuMont 1992. 149 S. OLn.m.OU Sehr gut erhalten",high,f,"",f,t,,2026-01-26 19:56:38.614712
4,symbolkunde_3_1_2,"BUCH DER ZEICHEN UND SYMBOLE. Herausgegeben von I. Schwarz-Winklhofer und H. Biedermann. Graz Verlag für Sammler 1980. XIII, 443 S. Zweite verbesserte Auflage. Mit zahlr. Abb. OPbd.",high,f,"",f,f,,2026-01-26 19:56:38.614712
5,symbolkunde_4_1_2,"CHAMPEAUX, Gerard de. und Dom Sebastien Sterck: Einführung in die Welt der Symbole –. Würzburg Echter 1993. 492 S. 2. Auflage. Mit zahlr. Abb. OLn.m.OU. Neuwertig",high,f,"",f,f,,2026-01-26 19:56:38.614712
6,symbolkunde_5_1_2,"CHAPEAUROUGE, Donat de. Einführung in die Geschichte der christlichen Symbole. Darmstadt Wiss. Buchgesellschaft 1984. 156 S. Mit 48 Abb. auf Tafeln. OPb.",high,f,"",f,t,,2026-01-26 19:56:38.614712
7,symbolkunde_6_1_2,"COOPER, J.C. . Illustriertes Lexikon der traditionellen Symbole. Leipzig Seemann 1986. 239 S. OPbd.m.OU. Mit zahlr. Abb. Sehr gut erhalten",high,f,"",f,t,,2026-01-26 19:56:38.614712
8,symbolkunde_7_1_2,"EBERHARD, Wolfram. Lexikon chinesischer Symbole. Geheime Sinnbilder in Kunst und Literatur, Leben und Denken der Chinesen. Köln Diederichs 1983. 320 S. Mit zahlr. Abb. OLn.m.OU. Neuwertig.",high,f,"",f,f,,2026-01-26 19:56:38.614712
9,symbolkunde_8_1_2,"HEINZ-MOHR, Gerd. Lexikon der Symbole. Bilder und Zeichen der christlichen Kunst. Mit 225 Zeichnungen von Isabella Seeger. Freiburg Herder 1991. 350 S. Herder Spektrum TB",high,f,"",f,f,,2026-01-26 19:56:38.614712
10,symbolkunde_9_1_2,"HEINZ-MOHR, Gerd. Lexikon der Symbole. Bilder und Zeichen der christlichen Kunst. Köln Diederichs 1981. 319 S. 6. erweiterte Auflage. Mit zahlr. Abb. i. Text und auf Tafeln. OLn.m.OU Neu: 2.Ex. Diederichs Gelbe Reihe",high,f,"",f,f,,2026-01-26 19:56:38.614712
11,symbolkunde_10_1_2,"HÖHLER, Gertrud. Die Bäume des Lebens. Baumsymbole in den Kulturen der Menschheit. Stuttgart DVA 1985. 351 S. OPb.m.OU Sehr gut erhalten.",high,f,"",f,f,,2026-01-26 19:56:38.614712
12,symbolkunde_11_1_2,"JUNG, C.G.. Der Mensch und seine Symbole. Olten Walter-Verlag 1981. Sonderausgabe. 320 S. Mit zahlr. Abb. OPbd.",high,f,"",f,f,,2026-01-26 19:56:38.614712
13,symbolkunde_12_1_2,"LAUF, Detlef-Ingo. Symbole. Verschiedenheit und Einheit in östlicher und westlicher Kultur. Frankfurt Insel 1981. 264 S. Zweite Auflage. Mit 10 farbigen Bildern auf Tafeln. OLn.m.OU Sehr gut erh.",high,f,"",f,f,,2026-01-26 19:56:38.614712
14,symbolkunde_14_1_2,"LURKER, Manfred. Die Botschaft der Symbole in Mythen, Kulturen und Religionen. Mit 124 schwarz-weißen Abbildungen. München Kösel 1990. 343 S. OLn.m.OU.",high,f,"",f,t,,2026-01-26 19:56:38.614712
15,symbolkunde_15_1_2,"LURKER, Manfred. Götter und Symbole der alten Ägypter. Einführung und kleines Lexikon. Bern Scherz Verlag für den Barth Verlag. 1974. 219 S. Mit vielen Abb. OLn.m.OU Neuwertig.",high,f,"",f,f,,2026-01-26 19:56:38.614712
16,symbolkunde_16_1_2,"LURKER, Manfred. Lexikon der Götter und Dämonen. Namen. Funktionen. Symbole/Attribute. Stuttgart Kröner 1984. XI, 433 S. Mit zahlr. Abb. OLn.m.OU. Neu.",high,f,"",f,t,,2026-01-26 19:56:38.614712
17,symbolkunde_17_1_2,"LURKER, Manfred. Symbol Mythos und Legende in der Kunst. Die symbolische Aussage in Malerei, Plastik und Architektur. Baden-Baden Koerner 1974. 352 S. 2. vermehrte Auflage mit 64 Textabbildungen und 12 Tafeln. OPbd. Sehr gut erhalten.",high,f,"",f,t,,2026-01-26 19:56:38.614712
18,symbolkunde_18_1_2,"LURKER, Manfred. Adler und Schlange. Tiersymbolik im Glauben und Weltbild der Völker. Tübingen Wunderlich 1983. 295 S. Mit Abb. OLn.m.OU.",high,f,"",f,f,,2026-01-26 19:56:38.614712
19,symbolkunde_19_1_2,"LURKER, Manfred. Der Kreis als Symbol im Denken, Glauben und künstlerischen Gestalten der Menschheit. Tübingen Wunderlich1981. 199 S. Mit Abb. OLn.m.OU.",high,f,"",f,f,,2026-01-26 19:56:38.614712
20,symbolkunde_20_1_2,"LURKER, Manfred. Götter und Symbole der alten Ägypter. Goldmann 1974. 239 S. Mit Abb. i. Text. TB",high,f,"",f,f,,2026-01-26 19:56:38.614712
21,symbolkunde_21_1_2,"LURKER, Manfred. Wörterbuch biblischer Bilder und Symbole. München Kösel 1978. 437 S. 2. Auflage. OLn.m.OU Sehr gut erhalten",high,f,"",f,t,,2026-01-26 19:56:38.614712
22,symbolkunde_22_1_2,"LURKER, Manfred. Wörterbuch der Symbolik. Stuttgart Kröner 1979. XVI, 686 SS. Doppelspaltig. OLn.m.OU.",high,f,"",f,f,,2026-01-26 19:56:38.614712
23,symbolkunde_23_1_2,"MOLSDORF, Wilhelm. Christliche Symbolik der mittelalterlichen Kunst. Zweite, wesentlich veränderte und erweiterte Auflage Mit 11 Tafeln Graz ADEVA 1968 XV, 294 SS. OLn.m.OU Neu",high,f,"",f,f,,2026-01-26 19:56:38.614712
24,symbolkunde_24_1_2,"MOSER, Bruno. Bilder, Zeichen und Gebärden. Die Welt der Symbole. München Südwestverlag 1986. 367 S. Mit zahlr. Abb. OLn.m.OU. Sehr gut erhalten.",high,f,"",f,f,,2026-01-26 19:56:38.614712
25,symbolkunde_26_2_2,"SIERKSMA, F. . Götter Götzen und Dämonen. Wesen und Form kultischer Symbole. Wien Forum Verlag. 59. 191 S. Mit 92 Abbildungen auf Tafeln und im Text. OLn.m.OU Neuwertig.",high,f,"",f,f,,2026-01-26 19:56:38.614712
26,symbolkunde_27_2_2,"SPERBER, Dan. Über Symbolik. Frankfurt Suhrkamp 1975. 209 S. OPbd. Theorie Suhrkamp",high,f,"",f,f,,2026-01-26 19:56:38.614712
27,symbolkunde_28_2_2,"THOUMIEU, Marc. Die Bildwelt der Romanik. A.d.Französ. Würzburg Echter 1998. 383 S. Mit zahlr. Abb. OLn.m.OU. Neuwertig.",high,f,"",f,t,,2026-01-26 19:56:38.614712
28,symbolkunde_29_2_2,"WITTLICH, Bernhard. Symbole und Zeichen. Bonn Bouvier 1965. 155 S. OPbd.",high,f,"",f,f,,2026-01-26 19:56:38.614712
29,fremdsprachige_44_2_39,"BALLADEN und LIEDER. Altenglischer und altschottischer Dichtart. Herausgegeben von August Friedrich Ursinus. Berlin Himburg 1777. Mit einem Frontispiz von Chodowiecki und einer Titelvignette. LXVII, 354 S. Englisch mit deutscher Übersetzung. OPbd. m. Rückenschild. Sehr gute Erhaltung. Erstausgabe.",high,f,,f,f,,2026-01-26 19:56:38.614712
30,fremdsprachige_48_2_39,"BARBUSSE, Henri. Jesus. A.d.Französ. v. Eduard Trautner. Leipzig C.Weller 1928. 245 S. OLn.m.OU. Verlagsfrisch.",high,f,,f,t,,2026-01-26 19:56:38.614712
31,fremdsprachige_163_7_39,"CAMOENS. Die Lusiade des ... Aus dem Portugiesischen in Deutsche Ottavereime übersetzt. Mit einem Bildnis des Dichters. Wien Pichler 1816. XXVIII, 299 S. Magazin der ausländischen classischen Literatur zwölfter Band. Unbeschnittene OBrosch. Gut erhalten",medium,f,"Author name should likely be 'Camões' (Luís de Camões), the famous Portuguese poet. Title should be 'Os Lusíadas' in Portuguese, 'Die Lusiaden' in German.",f,t,,2026-01-26 19:56:38.614712
32,fremdsprachige_210_9_39,"CHAGALL, Bella. Brennende Lichter. Mit 39 Zeichnungen von Marc Chagall. Reinbek Rowohlt 1966. 230 S. OLn.m.OU. Dt. EA. Neuwertig.",high,f,,f,f,,2026-01-26 19:56:38.614712
33,fremdsprachige_223_9_39,"CLAUDEL, Paul. Mittagswende. Deutsch von Roman Woerner. Hellerau Hegner 1918. 164 S. OPbd. Dt. EA",high,f,,f,t,,2026-01-26 19:56:38.614712
34,fremdsprachige_229_10_39,"COCTEAU, Jean. Das Weissbuch. A.d.Französ. Mit 22 Zeichnungen von Jean Cocteau. Berlin Albino Verlag 2.Auflage 1982. 72 S. und 18 ganzs. Zeichnungen. OBrosch.",high,f,,f,f,,2026-01-26 19:56:38.614712
35,fremdsprachige_256_11_39,DANTE ALIGHIERI. Die Göttliche Komödie. Ins Deutsche übertragen von Ida und Walther von Wartburg. Kommentiert von Walther von Wartburg. Mit 48 Illustrationen nach Holzschnitten von Gustave Dore. Zürich Manesse 1963. 1197 S. OLn.,high,f,,f,f,,2026-01-26 19:56:38.614712
36,fremdsprachige_257_11_39,"DANTE, Alighieri. Die göttliche Komödie. Deutsch von Karl Vossler Mit farbigen Illustrationen von Monika Beisner. In drei Bänden . Hölle 173 S. . Fegefeuer 173 S. . Paradies 190 S. . Leipzig Buchgemeinschaftsausgabe. Originalleinenbände mit goldgepr. Rücken in illustr. Schuber und Lesebändchen. Sehr attraktive, neuwertige Ausgabe.",high,f,,f,t,,2026-01-26 19:56:38.614712
37,fremdsprachige_263_11_39,"DEFOE, Daniel. Romane (in zwei Bänden). Herausgegeben von Norbert Miller. . Erster Band: Robinson Crusoe erster und zweiter Teil. Kapitän Singleton. 755 S. . Zweiter Band: Moll Flanders. Roxana. John Shappard. Jonathan Wild. 662 S. . München Hanser 2. Veränderte Auflage 1974. OLn, m. OU.",high,f,Potential typo in 'John Shappard' - should likely be 'Jack Sheppard',f,t,,2026-01-26 19:56:38.614712
38,fremdsprachige_332_14_39,"ELYTIS, Odysseas. To Axion Esti. Gepriesen sei. Zweisprachige Ausgabe. A.d.Griech übersetzt und mit Nachworten versehen. Neu durchgesehen und bearbeitet von Günter Dietz. Dritte Auflage Berlin 2005 205 S. OLn.m.OU.",high,f,,f,t,,2026-01-26 19:56:38.614712
39,fremdsprachige_393_16_39,GHETTOTAGEBUCH. Des Dawid Sierakowiak. Aufzeichnungen eines Siebzehnjährigen 1941/1942. Übersetzt von Roswitha Matwin-Buschmann. Leipzig Reclam 1993. 199 S. TB,high,f,,f,f,,2026-01-26 19:56:38.614712
