book_id,composite_id,title,subtitle,publisher,place_of_publication,publication_year,edition,pages,isbn,format_original,format_expanded,condition,copies,illustrations,packaging,topic_id,is_translation,original_language,is_multivolume,series_title,total_volumes,created_at,updated_at,is_removed
1,symbolkunde_0_1_2,Lexikon der Symbole,,Komet Lizenzausgabe,Frechen,,,352,,OPbd.m.OU,Original-Pappband mit Original-Umschlag,Neu,,Mit über 900 Abbildungen,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
2,symbolkunde_1_1_2,Knaurs Lexikon der Symbole,,Buchgemeinschaft,,1989,,591,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Neu,,Mit über 600 Abbildungen,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
3,symbolkunde_2_1_2,Das Mandala,Der Heilige Kreis im tantrischen Buddhismus,DuMont,Köln,1992,,149,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Sehr gut erhalten,,Mit Photographien von Peter Nebel und Doro Röthlisberger,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
4,symbolkunde_3_1_2,BUCH DER ZEICHEN UND SYMBOLE,,Verlag für Sammler,Graz,1980,Zweite verbesserte Auflage,443,,OPbd.,Original-Pappband,,,Mit zahlr. Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
5,symbolkunde_4_1_2,Einführung in die Welt der Symbole,,Echter,Würzburg,1993,2. Auflage,492,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Neuwertig,,Mit zahlr. Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
6,symbolkunde_5_1_2,Einführung in die Geschichte der christlichen Symbole,,Wiss. Buchgesellschaft,Darmstadt,1984,,156,,OPb.,Original-Pappband,,,Mit 48 Abb. auf Tafeln,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
7,symbolkunde_6_1_2,Illustriertes Lexikon der traditionellen Symbole,,Seemann,Leipzig,1986,,239,,OPbd.m.OU,Original-Pappband mit Original-Umschlag,Sehr gut erhalten,,Mit zahlr. Abb.,,13,,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
8,symbolkunde_7_1_2,Lexikon chinesischer Symbole,"Geheime Sinnbilder in Kunst und Literatur, Leben und Denken der Chinesen",Diederichs,Köln,1983,,320,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Neuwertig,,Mit zahlr. Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
9,symbolkunde_8_1_2,Lexikon der Symbole,Bilder und Zeichen der christlichen Kunst,Herder,Freiburg,1991,,350,,Herder Spektrum TB,Herder Spektrum Taschenbuch,,,Mit 225 Zeichnungen von Isabella Seeger,,13,f,,f,Herder Spektrum,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
10,symbolkunde_9_1_2,Lexikon der Symbole,Bilder und Zeichen der christlichen Kunst,Diederichs,Köln,1981,6. erweiterte Auflage,319,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Neu,2,Mit zahlr. Abb. i. Text und auf Tafeln,,13,f,,f,Diederichs Gelbe Reihe,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
11,symbolkunde_10_1_2,Die Bäume des Lebens,Baumsymbole in den Kulturen der Menschheit,DVA,Stuttgart,1985,,351,,OPb.m.OU,Original-Pappband mit Original-Umschlag,Sehr gut erhalten,,,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
12,symbolkunde_11_1_2,Der Mensch und seine Symbole,,Walter-Verlag,Olten,1981,Sonderausgabe,320,,OPbd.,Original-Pappband,,,Mit zahlr. Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
13,symbolkunde_12_1_2,Symbole,Verschiedenheit und Einheit in östlicher und westlicher Kultur,Insel,Frankfurt,1981,Zweite Auflage,264,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Sehr gut erh.,,Mit 10 farbigen Bildern auf Tafeln,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
14,symbolkunde_14_1_2,"Die Botschaft der Symbole in Mythen, Kulturen und Religionen",,Kösel,München,1990,,343,,OLn.m.OU,Original-Leinen mit Original-Umschlag,,,Mit 124 schwarz-weißen Abbildungen,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
15,symbolkunde_15_1_2,Götter und Symbole der alten Ägypter,Einführung und kleines Lexikon,Scherz Verlag für den Barth Verlag,Bern,1974,,219,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Neuwertig,,Mit vielen Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
16,symbolkunde_16_1_2,Lexikon der Götter und Dämonen,Namen. Funktionen. Symbole/Attribute,Kröner,Stuttgart,1984,,433,,OLn.m.OU,Original-Leinen mit Original-Umschlag,Neu,,Mit zahlr. Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
17,symbolkunde_17_1_2,Symbol Mythos und Legende in der Kunst,"Die symbolische Aussage in Malerei, Plastik und Architektur",Koerner,Baden-Baden,1974,2. vermehrte Auflage,352,,OPbd,Original-Pappband,Sehr gut erhalten,,mit 64 Textabbildungen und 12 Tafeln,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
18,symbolkunde_18_1_2,Adler und Schlange,Tiersymbolik im Glauben und Weltbild der Völker,Wunderlich,Tübingen,1983,,295,,OLn.m.OU,Original-Leinen mit Original-Umschlag,,,Mit Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
19,symbolkunde_19_1_2,"Der Kreis als Symbol im Denken, Glauben und künstlerischen Gestalten der Menschheit",,Wunderlich,Tübingen,1981,,199,,OLn.m.OU,Original-Leinen mit Original-Umschlag,,,Mit Abb.,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
20,symbolkunde_20_1_2,Götter und Symbole der alten Ägypter,,Goldmann,,1974,,239,,TB,Taschenbuch,,,Mit Abb. i. Text,,13,f,,f,,,2026-01-26 19:54:25.630639,2026-01-26 19:54:25.630639,f
