b2p_id,book_id,composite_id,person_id,unified_id,display_name,family_name,given_names,name_particles,single_name,sort_order,is_author,is_editor,is_contributor,is_translator,created_at,updated_at
1,1,symbolkunde_0_1_2,389,becker_udo,"Becker, Udo",Becker,Udo,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
2,2,symbolkunde_1_1_2,551,biedermann_hans,"BIEDERMANN, Hans",Biedermann,Hans,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
3,2,symbolkunde_1_1_2,5661,riemann_gerhard,"Riemann, Gerhard",Riemann,Gerhard,,,0,f,t,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
4,3,symbolkunde_2_1_2,775,brauen_martin,"BRAUEN, Martin",Brauen,Martin,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
5,3,symbolkunde_2_1_2,4890,nebel_peter,"Nebel, Peter",Nebel,Peter,,,0,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
6,3,symbolkunde_2_1_2,5738,roethlisberger_doro,"Röthlisberger, Doro",Röthlisberger,Doro,,,1,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
7,4,symbolkunde_3_1_2,551,biedermann_hans,"Biedermann, H.",Biedermann,H.,,,1,f,t,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
8,4,symbolkunde_3_1_2,6372,schwarz_winklhofer_i,"Schwarz-Winklhofer, I.",Schwarz-Winklhofer,I.,,,0,f,t,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
9,5,symbolkunde_4_1_2,1051,champeaux_gerard_d,"Champeaux, Gerard de",Champeaux,Gerard,de,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
10,5,symbolkunde_4_1_2,6725,sterck_sebastien,"Sterck, Dom Sebastien",Sterck,Sebastien,Dom,,1,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
11,6,symbolkunde_5_1_2,1055,chapeaurouge_donat_d,"Chapeaurouge, Donat de",Chapeaurouge,Donat,de,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
12,7,symbolkunde_6_1_2,1152,cooper_j_c,"Cooper, J.C.",Cooper,J.C.,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
13,8,symbolkunde_7_1_2,1525,eberhard_wolfram,"Eberhard, Wolfram",Eberhard,Wolfram,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
14,9,symbolkunde_8_1_2,2731,heinz_mohr_gerd,"Heinz-Mohr, Gerd",Heinz-Mohr,Gerd,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
15,9,symbolkunde_8_1_2,6406,seeger_isabella,"Seeger, Isabella",Seeger,Isabella,,,0,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
16,10,symbolkunde_9_1_2,2731,heinz_mohr_gerd,"Heinz-Mohr, Gerd",Heinz-Mohr,Gerd,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
17,11,symbolkunde_10_1_2,2971,hohler_gertrud,"Höhler, Gertrud",Höhler,Gertrud,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
18,12,symbolkunde_11_1_2,3271,jung_c_g,"Jung, C.G.",Jung,C.G.,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
19,13,symbolkunde_12_1_2,3965,lauf_detlef_ingo,"Lauf, Detlef-Ingo",Lauf,Detlef-Ingo,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
20,14,symbolkunde_14_1_2,4266,lurker_manfred,"Lurker, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
21,15,symbolkunde_15_1_2,4266,lurker_manfred,"LURKER, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
22,16,symbolkunde_16_1_2,4266,lurker_manfred,"Lurker, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
23,17,symbolkunde_17_1_2,4266,lurker_manfred,"Lurker, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
24,18,symbolkunde_18_1_2,4266,lurker_manfred,"LURKER, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
25,19,symbolkunde_19_1_2,4266,lurker_manfred,"LURKER, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
26,20,symbolkunde_20_1_2,4266,lurker_manfred,"LURKER, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
27,21,symbolkunde_21_1_2,4266,lurker_manfred,"LURKER, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
28,22,symbolkunde_22_1_2,4266,lurker_manfred,"Lurker, Manfred",Lurker,Manfred,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
29,23,symbolkunde_23_1_2,4723,molsdorf_wilhelm,"Molsdorf, Wilhelm",Molsdorf,Wilhelm,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
30,24,symbolkunde_24_1_2,4762,moser_bruno,"MOSER, Bruno",Moser,Bruno,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
31,25,symbolkunde_26_2_2,6503,sierksma_f,"Sierksma, F.",Sierksma,F.,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
32,26,symbolkunde_27_2_2,6606,sperber_dan,"Sperber, Dan",Sperber,Dan,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
33,27,symbolkunde_28_2_2,6978,thoumieu_marc,"THOUMIEU, Marc",Thoumieu,Marc,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
34,28,symbolkunde_29_2_2,7620,wittlich_bernhard,"WITTLICH, Bernhard",Wittlich,Bernhard,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
35,29,fremdsprachige_44_2_39,1075,chodowiecki_daniel,Chodowiecki,Chodowiecki,,,Chodowiecki,0,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
36,29,fremdsprachige_44_2_39,7153,ursinus_august_f,August Friedrich Ursinus,Ursinus,August Friedrich,,,0,f,t,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
37,30,fremdsprachige_48_2_39,278,barbusse_henri,"BARBUSSE, Henri",Barbusse,Henri,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
38,30,fremdsprachige_48_2_39,7044,trautner_eduard,Eduard Trautner,Trautner,Eduard,,,0,f,f,f,t,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
39,31,fremdsprachige_163_7_39,977,camoes_luiz,Camoens,Camoens,,,Camoens,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
40,32,fremdsprachige_210_9_39,1045,chagall_bella,"CHAGALL, Bella",Chagall,Bella,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
41,32,fremdsprachige_210_9_39,1046,chagall_marc,Marc Chagall,Chagall,Marc,,,0,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
42,33,fremdsprachige_223_9_39,1101,claudel_paul,"CLAUDEL, Paul",Claudel,Paul,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
43,33,fremdsprachige_223_9_39,7628,woerner_roman,Roman Woerner,Woerner,Roman,,,0,f,f,f,t,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
44,34,fremdsprachige_229_10_39,1118,cocteau_jean,"COCTEAU, Jean",Cocteau,Jean,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
45,35,fremdsprachige_256_11_39,65,alighieri_dante,Dante Alighieri,Alighieri,Dante,,,0,t,f,f,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
46,35,fremdsprachige_256_11_39,7372,wartburg_ida_walther_von,Ida und Walther von Wartburg,Wartburg,Ida und Walther,von,,0,f,f,f,t,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
47,35,fremdsprachige_256_11_39,7373,wartburg_walther_von,Walther von Wartburg,Wartburg,Walther,von,,0,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
48,36,fremdsprachige_257_11_39,413,beisner_monika,Monika Beisner,Beisner,Monika,,,0,f,f,t,f,2026-01-26 19:56:38.614712,2026-01-26 19:56:38.614712
