filename;preise;keine preise
ÄGYPTEN VORDERER ORIENT.docx;83;76
ANTIKE TEXTE.docx;219;214
Autographen.docx;35;35
BIBLIOPHILE BÜCHER.docx;227;225
BIOGRAPHIEN.docx;655;656
BRIEFE TAGEBÜCHER WERKE.docx;371;367
BUCH VERLAG ALMANACHE.docx;191;194
BUDDHISMUS, HINDUISMUS.docx;77;77
CHRISTENTUM.docx;143;138
DEUTSCHE LITERATUR MONOGRAPHIEN.docx;245;236
DEUTSCHE LITERATUR TEXTE.docx;491;481
DEUTSCHLAND.docx;110;107
ERSTAUSGABEN A - G.docx;667;668
ERSTAUSGABEN H - M.docx;680;676
ERSTAUSGABEN N - Z.docx;620;616
ESOTERIK.docx;65;64
ETHNOLOGIE PSYCHOLOGIE NATURWISSENSCHAFT.docx;313;310
FREMDSPRACHIGE LITERATUR IN ÜBERSETZUNGEN.docx;954;953
FRÜHES CHRISTENTUM.docx;120;112
GESCHICHTE ALLGEMEIN LÄNDER.docx;58;58
Griechenland Rom.docx;260;246
Illustrierte Bücher.docx;340;339
INSEL-BÜCHEREI.docx;673;672
ISLAM.docx;66;66
JUDENTUM.docx;195;193
Kinder- und Jugendliteratur.docx;93;94
KUNSTBÜCHER.docx;928;941
LITERATUR-UND SPRACHWISSENSCHAFT.docx;300;287
MÄRCHEN.docx;53;53
MITTELALTER.docx;158;150
MONOGRAPHIEN FREMDSPRACHIGER AUTOREN.docx;69;69
MUSIK UND THEATER.docx;279;271
MYTHOLOGIE.docx;66;66
NEUZEIT.docx;106;100
OKKULTISMUS, GEHEIMWISSENSCHAFTEN.docx;186;184
ÖSTERREICH.docx;298;302
PHILOSOPHIE.docx;613;603
REISEN GEOGRAPHIE.docx;309;304
RELIGION ALLGEMEIN.docx;113;105
RENAISSANCE.docx;93;92
RUSSLAND.docx;422;419
Signierte Exemplare.docx;241;241
SONSTIGES, Bildbände, Kataloge Atlanten.docx;81;80
SUCHLISTE.docx;59;59
SYMBOLKUNDE.docx;31;31
WIEN.docx;238;247
ZEITGESCHICHTE, REPORTAGEN.docx;85;75
ZEITSCHRIFTEN.docx;21;21
