person_id,unified_id,family_name,given_names,name_particles,single_name,is_organisation,created_at,updated_at
1,abel_othenio,Abel,Othenio,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
2,abel_otto,Abel,Otto,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
3,absolon_kurt,Absolon,Kurt,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
4,abu_temmam,Abu Temmam,,,Abu Temmam,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
5,abulafia_david,Abulafia,David,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
6,achelis_joh_d,Achelis,Joh. Daniel,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
7,achlama_ruth,Achlama,Ruth,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
8,achleitner_friedrich,Achleitner,Friedrich,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
9,achleitner_gunther,Achleitner,Günther,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
10,achmatowa_anna,Achmatowa,Anna,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
11,achternbusch_herbert,Achternbusch,Herbert,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
12,ackermann_hans_c,Ackermann,Hans Chr.,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
13,adam_paul,Adam,Paul,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
14,adel_kurt,Adel,Kurt,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
15,adelson_alan,Adelson,Alan,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
16,adkins_helen,Adkins,Helen,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
17,adler_alexandre,Adler,Alexandre,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
18,adler_friedrich,Adler,Friedrich,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
19,adler_gerhard,Adler,Gerhard,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
20,adler_h_g,Adler,H.G.,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
21,adler_jeremy,Adler,Jeremy,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
22,adler_tal,Adler,Tal,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
23,adler_victor,Adler,Victor,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
24,adorno_theodor_w,Adorno,Theodor W.,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
25,adrion_alexander,Adrion,Alexander,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
26,afanasjew_a_n,Afanasjew,A.N.,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
27,afritsch_anton,Afritsch,Anton,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
28,agafonow_alexander,Agafonow,Alexander,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
29,agamben_giorgio,Agamben,Giorgio,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
30,agnon_s,Agnon,S.J.,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
31,agostinone_bruno,Agostinone,Bruno,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
32,agrippa_von_nettesheim_heinrich_c,Agrippa Von Nettesheim,Heinrich Cornelius,von,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
33,aichele_walther,Aichele,Walther,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
34,aichinger,Aichinger,,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
35,aichinger_ilse,Aichinger,Ilse,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
36,aichinger_wolfram,Aichinger,Wolfram,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
37,aigner_carl,Aigner,Carl,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
38,aigner_dunnwald_anjuta,Aigner-Dünnwald,Anjuta,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
39,aime_marcel,Aime,Marcel,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
40,aischylos,Aischylos,Aischylos,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
41,aitmatow_tschingis,Aitmatow,Tschingis,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
42,aksjonow_wassilij,Aksjonow,Wassilij,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
43,akudowitsch_valentin,Akudowitsch,Valentin,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
44,akurgal_ekrem,Akurgal,Ekrem,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
45,al_ghasali,Al Ghasali,,,Al Ghasali,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
46,al_halladsch,Al-Halladsch,,,Al-Halladsch,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
47,al_hamadhani,Al-Hamadhani,,,Al-Hamadhani,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
48,al_samman_tarif,Al Samman,Tarif,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
49,alain,,Alain,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
50,alain_fournier,Alain-Fournier,,,Alain-Fournier,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
51,aland_kurt,Aland,Kurt,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
52,alarcon_pedro_a,Alarcón,Pedro Antonio,de,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
53,albert_hans,Albert,Hans,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
54,albertus_magnus,Albertus Magnus,,,Albertus Magnus,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
55,albrecht_jorn,Albrecht,Jörn,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
56,albrecht_weinberger_karl,Albrecht-Weinberger,Karl,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
57,albrecht_wolfgang,Albrecht,Wolfgang,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
58,albus_anita,Albus,Anita,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
59,alciatus_andreas,Alciatus,Andreas,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
60,alcoforado_marianna,Alcoforado,Marianna,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
61,alejchem_scholem,Alejchem,Scholem,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
62,alewyn_richard,Alewyn,Richard,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
63,alexijewitsch_swetlana,Alexijewitsch,Swetlana,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
64,alfano_myriam,Alfano,Myriam,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
65,alighieri_dante,Alighieri,Dante,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
66,alker_stefan,Alker,Stefan,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
67,alkiphron,Alkiphron,Alkiphron,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
68,alleycat,,,,Alleycat,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
69,allram_josef,Allram,Josef,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
70,alpers_svetlana,Alpers,Svetlana,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
71,alt_wilhelm,Alt,Wilhelm,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
72,altenberg_peter,Altenberg,Peter,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
73,altenberg_theo,Altenberg,Theo,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
74,altheim_franz,Altheim,Franz,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
75,altmann-loos_elsie,Altmann-Loos,Elsie,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
76,altmann_bischof,Altmann,,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
77,altmann_gerhard,Altmann,Gerhard,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
78,altrichter_rudolf,Altrichter,Rudolf,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
79,altwicker_norbert,Altwicker,Norbert,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
80,alvarez_manuel_f,Alvarez,Manuel Fernandez,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
81,alvelos_maria_e,Alvelos,Maria Eduarda,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
82,amalrik_andrej,Amalrik,Andrej,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
83,amann_jurg,Amann,Jürg,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
84,amann_klaus,Amann,Klaus,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
85,amann_paul,Amann,Paul,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
86,amanshauser_gerhard,Amanshauser,Gerhard,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
87,amanshauser_martin,Amanshauser,Martin,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
88,amberger_olga,Amberger,Olga,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
89,amelang_heinz,Amelang,Heinz,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
90,amelung_heinz,Amelung,Heinz,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
91,amelung_peter,Amelung,Peter,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
92,amery_carl,Amery,Carl,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
93,amery_jean,Amery,Jean,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
94,amman_jost,Amman,Jost,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
95,ammar_angelica,Ammar,Angelica,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
96,ammer_k_l,Ammer,K. L.,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
97,ammon_gunter,Ammon,Günter,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
98,amundsen_roald,Amundsen,Roald,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
99,anders_gunther,Anders,Günther,,,f,2026-01-26 19:54:23.311152,2026-01-26 19:54:23.311152
