category,docx_rows,json_records,difference
ANTIKE TEXTE,215,213,2
AUTOGRAPHEN,35,35,0
BIBLIOPHILE BÜCHER,227,227,0
BIOGRAPHIE,654,655,-1
BRIEFE TAGEBÜCHER WERKE,371,371,0
BUCH VERLAG ALMANACHE,195,195,0
"BUDDHISMUS, HINDUISMUS",78,72,6
CHRISTENTUM,138,134,4
DEUTSCHE LITERATUR MONOGRAPHIEN,238,238,0
DEUTSCHE LITERATUR TEXTE,483,479,4
DEUTSCHLAND,106,97,9
ERSTAUSGABEN (combined),1954,1949,5
ESOTERIK,65,61,4
ETHNOLOGIE PSYCHOLOGIE NATURWISSENSCHAFT,307,305,2
FREMDSPRACHIGE LITERATUR IN ÜBERSETZUNGEN,950,950,0
FRÜHES CHRISTENTUM,111,97,14
GESCHICHTE ALLGEMEIN LÄNDER,58,57,1
GRIECHENLAND ROM,249,244,5
ILLUSTRIERTE BÜCHER,337,337,0
INSEL-BÜCHEREI,673,673,0
ISLAM,68,66,2
JUDENTUM,224,220,4
KINDER- UND JUGENDLITERATUR,98,98,0
KUNSTBÜCHER,940,930,10
LITERATUR-UND SPRACHWISSENSCHAFT,287,287,0
MITTELALTER,153,151,2
MONOGRAPHIEN FREMDSPRACHIGER AUTOREN,69,69,0
MUSIK UND THEATER,273,271,2
MYTHOLOGIE,66,58,8
MÄRCHEN,54,54,0
NEUZEIT,98,98,0
"OKKULTISMUS, GEHEIMWISSENSCHAFTEN",185,179,6
PHILOSOPHIE,605,595,10
REISEN GEOGRAPHIE,312,311,1
RELIGION ALLGEMEIN,103,89,14
RENAISSANCE,91,89,2
RUSSLAND,409,409,0
SIGNIERTE EXEMPLARE,240,240,0
"SONSTIGES, BILDBÄNDE, KATALOGE ATLANTEN",79,79,0
SUCHLISTE,58,59,-1
SYMBOLKUNDE,31,31,0
WIEN,246,244,2
"ZEITGESCHICHTE, REPORTAGEN",76,76,0
ZEITSCHRIFTEN,20,20,0
ÄGYPTEN VORDERER ORIENT,76,73,3
ÖSTERREICH,309,307,2
TOTAL,12614,12492,122
