IB-Nr.,Titel,Autor,Preis,Exemplare
1,Die Weise von Liebe und Tod des Cornets Christoph Rilke,"Rilke, Rainer Maria",8,8
3,Amo,,30,2
4,Alte deutsche Liebeslieder,,15,
7,Wunderbare Reisen zu Wasser und zu Lande des Freiherrn von Münchhausen,"Bürger, Gottfried August",,
8,Der Tod des Tizian Idylle. Zwei Dichtungen,"Hofmannsthal, Hugo",9,2
13,An den Toren des Lebens. Eine Novelle,"Hardt, Ernst",8,
16,Fünf sehr anmutige Geschichten. Des vielgelästerten Giovanni de Boccaccio aus Certaldo. Mit sieben altitalienischen Holzschnitten und einem Aufsatz von Friedrich Schlegel,"Boccaccio, Giovanni",10,
17,Tage der Gefahr. Ein Tagebuch der Leipziger Schlacht,"Rochlitz, Friedrich",8,
18,PLATTDÜTSCHE PREDIGTEN,"Sackmann, Jobst",8,
20,In Dingsda,"Schlaf, Johannes",60,
21,Hymnen an die Nacht. Die Christenheit oder Europa,NOVALIS,8,
22,Liebesgedichte,"Huch, Ricarda",5,
23,Der Opfergang. Novelle,"Binding, Rudolf G.",8,2
24,Der Mantel. Novelle,,10,2
25,Bilderpossen. In siebzig Bildern,"Busch, Wilhelm",50,3
27,Antigone. Eine Tragödie,SOPHOKLES,15,3
28,Der Tor und der Tod,"Hofmannsthal, Hugo",10,5
30,Requiem. Für eine Freundin. Für Wolf Graf von Kalkreuth. Auf den Tod eines Knaben,"Rilke, Rainer Maria",20,3
31,Beobachtungen über das Gefühl des Schönen und Erhabenen,"Kant, Immanuel",8,
32,MEROITISCHE KLEINKUNST IB,,8,
32,MUTTER UND KIND. Ein Gedicht in sieben Gesängen,,6,
33,Aphorismen,"Lichtenberg, Georg Christoph",10,2
35,Die goldene Hochzeit,,,
36,Leinwandmesser. Eine Erzählung,,10,
38,Über Schiller und den Gang seiner Geistesentwicklung,"Humboldt, Wilhelm",7,
39,Stine. Ein Roman,"Fontane, Theodor",6,
41,Aus des Angelus Silesius Cherubinischem Wandersmann nebst geistlichen Liedern,ANGELUS SILESIUS,10,3
42,Tartarin von Tarascon,"Daudet, Alphonse",7,3
43,Das Marien-Leben,"Rilke, Rainer Maria",12,4
44,Goethe über seinen Faust,,8,
45,Pole Poppenspäler. Erzählung,"Storm, Theodor",10,
49,Urworte der Philosophie. Griechisch und deutsch,HERAKLIT,15,2
49,Frühling,"Schlaf, Johannes",8,2
50,Gedichte,"Hölderlin, Friedrich",15,3
51,Leben des vergnügten Schulmeisterlein Maria Wuz,"Paul, Jean",7,
52,Der Tod des Iwan Iljitsch. Erzählung,"Tolstoj, Lew N.",20,2
53,Wirkungen Goethes in der Gegenwart,"Carossa, Hans",10,
54,Das kleine Buch der Edelsteine,,70,
55,Über Schriftstellerei und Stil,"Schopenhauer, Arthur",10,
56,Ein kurzweilig Lesen vom Till Ulenspiegel,,8,
59,Gedichte,"Hebbel, Friedrich",8,2
60,KINDERLIEDER. Aus des Knaben Wunderhorn,,15,
61,Goethes Faust. In ursprünglicher Gestalt – Der Urfaust,"Goethe, Johann Wolfgang",12,3
62,Auferstehung. Novelle,"Mann, Heinrich",12,
63,Ausgewählte Gedichte,,8,
66,Der Struwwelpeter oder lustige Geschichten und drollige Bilder,"Hoffmann, Heinrich",20,
67,Dialog vom Marsyas,"Bahr, Hermann",7,
68,Volkserzählungen,"Tolstoj, Lew N.",8,2
69,Nachkommenschaften. Erzählung,"Stifter, Adalbert",8,2
71,Historie eines edeln Fürsten,,,
71,Katechismus für den deutschen Kriegs- und Wehrmann. Die Deutsche Wehrmannschaft,,50,
74,Portugiesische Briefe. Der Marianna Alcoforado,,15,2
75,Gedichte,,20,
77,Die Germania,,12,
78,Das kleine Welttheater oder Die Glücklichen,"Hofmannsthal, Hugo",6,2
79,Der Turkmenenkrieg,,6,
82,Der arme Spielmann. Erzählung,"Grillparzer, Franz",12,
83,Briefe Kaiser Wilhelms I. An Bismarck,,12,
87,Persische Spruchgedichte,,8,
88,Dantons Tod. Ein Drama von Georg Büchner. Nach der Handschrift des Dichters revidierte Ausgabe,"Büchner, Georg",5,
89,Die Silvesterglocken. Mit elf Federzeichnungen nach der Erstausgabe von 1841,"Dickens, Charles",10,
91,Leonce und Lena. Lenz,"Büchner, Georg",7,3
92,Woyzeck. Eine Tragödie. Nach den neu entzifferten Handschriften für Leser und Bühne hergestellt von Ernst Hardt,"Büchner, Georg",15,3
94,Die Walküre,"Wagner, Richard",7,
95,Bildnisse. 24 farbige Handzeichnungen,"Holbein, Hans",10,2
95,Im Schloß. Novelle,"Storm, Theodor",10,
96,Götterdämmerung,"Wagner, Richard",10,
97,Rienzi. Der Letzte der Tribunen,"Wagner, Richard",15,
99,Tannhäuser und der Sängerkrieg auf der Wartburg,"Wagner, Richard",10,
99,Der Lockenraub. Ein komisches Heldengedicht,"Pope, Alexander",15,2
100,Das kleine Buch der Vögel und Nester,,20,4
103,Parsifal. Ein Bühnenweihfestspiel,"Wagner, Richard",10,
105,Gedichte,"Vogelweide, Walther",10,2
106,Jesus von Nazareth. Ein dichterischer Entwurf,"Wagner, Richard",12,
107,Fünf Gedichte von Mathilde Wesendonk. In Musik gesetzt von Richard Wagner. Mit einem Nachwort von Joachim Kaiser,,20,
108,Handzeichnungen,,15,2
110,Von der Eitelkeit. Zwei Essays,"Kassner, Rudolf",15,3
111,Beethoven,"Wagner, Richard",,
111,Das Reich des Kindes. Die Vöglein von Theres. Zwei Legenden,"Le Fort, Gertrud",10,
112,Zeit und Ewigkeit. Ausgewählte Gedichte,"Morgenstern, Christian",8,
112,Zeit und Ewigkeit. Ausgewählte Gedichte,"Morgenstern, Christian",10,
114,Geschichten aus Herodot,,8,
115,Die Sonette an Orpheus,"Rilke, Rainer Maria",10,3
116,Die Sanfte,,6,2
121,Das Buch Judith,,25,
122,Brennendes Geheimnis,"Zweig, Stefan",40,
123,Hymnen für die Erde,"Whitman, Walt",10,4
124,HÄUSLICHES LEBEN,,20,3
125,Das Puppenspiel vom Doktor Faust,,10,
126,"Größe, Glück und Unglück in der Weltgeschichte","Burckhardt, Jacob",10,
126,Betrachtungen. Oder moralische Sentenzen und Maximen des Herzogs von Roche La Foucauld,,12,2
129,Phantastische Erzählungen,"Poe, Edgar Allan",30,2
129,Phantastische Erzählungen,"Poe, Edgar Allan",20,4
130,Ausgewählte Schriften,"Winckelmann, Johann Joachim",15,
131,Meine Gefängnisse,"Verlaine, Paul",10,
131,Blumen am Gipfel der Berge,,8,
132,Das Rollwagenbüchlein,"Wickram, Jörg",25,2
133,Das Ständebuch,,12,4
133,Das Ständebuch,"Amman, Jost",15,2
134,Alkestis. Ein Trauerspiel nach Euripides,"Hofmannsthal, Hugo",10,2
135,Gedichte in Prosa,"Baudelaire, Charles",5,
137,Datterich. Lokalposse in sechs Bildern in der Mundart der Darmstädter,,20,
138,Über Lesen und Bücher,"Schopenhauer, Arthur",50,4
141,Die Prärie am Jacinto,"Sealsfield, Charles",7,
143,Die Rückkehr des verlorenen Sohnes,"Gide, André",13,3
149,Der Großinquisitor,,15,2
149,Der Großinquisitor,,13,2
150,Tagebuch der Reise in die Niederlande,"Dürer, Albrecht",10,2
151,Hippokrates. Auswahl aus der Hippokratischen Schriftensammlung,,120,
152,Der Schimmelreiter. Novelle,"Storm, Theodor",8,2
158,Das kleine Buch der Meereswunder. Muscheln und Schnecken. Kolorierte Stiche auf 24 Tafeln,,8,
159,Anekdoten von Friedrich dem Grossen,,20,
160,Geschichte Gottfriedens von Berlichingen mit der eisernen Faust. Dramatisiert,"Goethe, Johann Wolfgang",15,2
163,Der Mexikaner Felipe Rivera. Der Schrei des Pferdes. Zwei Erzählungen,"London, Jack",6,
164,CHINESISCHE HOLZSCHNITTE,,20,2
165,Sternstunden der Menschheit. Fünf historische Miniaturen,"Zweig, Stefan",15,5
166,Reden Bismarcks. Nach seinem Ausscheiden aus dem Amte,,10,
167,Das Apostelspiel,"Mell, Max",10,6
168,"Schubert im Freundeskreis. Ein Lebensbild aus Briefen, Erinnerungen, Tagebuchblättern, Gedichten",,10,
169,Grundgedanken über Krieg und Kriegführung,,8,2
171,Der alte deutsche Kriegsgesang. In Worten und Weisen,,10,
172,Der Koran,,10,
174,Franz Hofdemel. Eine Mozart-Novelle,"Goetz, Wolfgang",10,
175,Geschichte vom braven Kasperl und dem schönen Annerl,"Brentano, Clemens",20,2
178,Sizilianische Geschichten,"Verga, Giovanni",8,
179,Fragmente,"Schlegel, Friedrich",9,
180,Hanneles Himmelfahrt. Traumdichtung in zwei Akten,"Hauptmann, Gerhart",12,3
181,Musik der Welt aus meinem Werk,"Mombert, Alfred",6,
185,Fabeln,LAFONTAINE,18,2
186,Der Wandsbecker Bote. Eine Auswahl aus den Werken von Matthias Claudius,"Claudius, Matthias",15,2
187,Das Büchlein vom Leben nach dem Tode,"Fechner, Gustav Theodor",9,2
188,Das Sternenkind,"Däubler, Theodor",10,
194,Peter Schlemihls wundersame Geschichte,"Chamisso, Adelbert",15,2
198,Der Ackermann und der Tod. Ein Streit- und Trostgespräch vom Tode aus dem Jahre 1400,"Saaz, Johann",15,
198,Der Ackermann und der Tod,"Saaz, Johann",10,
201,LI TAI PE,,8,4
202,Entwurf einer neuen Ästhetik der Tonkunst,"Busoni, Ferruccio",20,3
203,GILGAMESCH. Eine Erzählung aus dem alten Orient,,10,2
204,Du und Angela. Fünf Erzählungen,"Waggerl, Karl Heinrich",8,4
205,Die Elfenbeinflöte. Seltsame Geschichten aus dem Beginenhof,"Tiry, A.",9,
205,Gustave Flaubert,"Zola, Emile",40,
207,Visionen,SCHWESTER Hadewich,10,
207,Adalbert Stifters Briefe,,8,
208,Lanzelot und Sanderein,,7,
210,Das Gericht des Meeres. Erzählung,"Le Fort, Gertrud",10,2
213,Das kleine Schmetterlingsbuch. Die Tagfalter,,10,
216,Das Perlenhemd. Eine chinesische Liebesgeschichte,,7,
219,EINE WUNDERBARLICH UND KURZWEILIGE HISTORIE. Wie Schiltberger…,,5,
220,Die Ballade vom Zuchthaus zu Reading,,10,
221,Bilder des Todes,,10,
223,Der Dreispitz. Eine spanische Novelle,,,
224,Aus dem Leben eines Taugenichts. Novelle,"Eichendorff, Joseph",14,
224,Aus dem Leben eines Taugenichts. Novelle,"Eichendorff, Joseph",8,
224,Novelle,"Eichendorff, Joseph",9,
226,Das kleine Buch der Nachtfalter,,20,
227,"Luther im Kreise der Seinen. Briefe, Gedichte, Fabeln, Sprichwörter und Tischreden",,8,
228,Zum ewigen Frieden. Ein philosophischer Entwurf,"Kant, Immanuel",50,
230,Mozart auf der Reise nach Prag. Eine Novelle,"Mörike, Eduard",10,3
231,Das Buch der göttlichen Tröstung und vom Edlen Menschen,Eckhart,10,
234,Quartier für die Nacht. Will von der Mühle. Zwei Erzählungen,"Stevenson, Robert Louis",9,
236,WER WILL UNTER DIE SOLDATEN. Deutsche Soldatenlieder mit farbigen Bildern von Fritz Kredel,,20,2
239,AUS MINNESANGS FRÜHLING,,10,
241,Beethovens Briefe. Und persönliche Aufzeichnungen,,15,
242,Gedichte,"Storm, Theodor",8,2
247,Salome. Tragödie in einem Akt. Mit sämtlichen Illustrationen von Aubrey Beardsley,,15,
247,Salome. Tragödie in einem Akt,,15,
247,Salome. Tragödie in einem Akt,"Wilde, Oscar",20,2
249,Aquis submersus. Novelle,"Storm, Theodor",10,
250,Die kleine Passion,,15,
252,Sonette,"Barrett-Browning, Elisabeth",15,
253,Führung und Kraft aus der Ewigkeit. DAU-DÖ-GING,,10,
253,Die Bahn und der rechte Weg des Lao Tse,,9,
254,Weisse Nächte. Ein empfindsamer Roman aus den Erinnerungen eines Träumers,,8,
255,Der kleine Goldfischteich. In vielen Farben. Kolorierte Stiche,,15,2
258,Eine langweilige Geschichte. Aus den Aufzeichnungen eines alten Mannes,"Tschechow, Anton P.",7,
259,Gedichte in Prosa,,9,
260,"Aus dem Irrgarten der Liebe. Verliebte, launenhafte, moralische und andere Lieder","Bierbaum, Otto Julius",9,
261,Barbara Naderer. Novelle,"Mell, Max",10,2
261,Tubutsch,"Ehrenstein, Albert",15,
263,Malerei und Zeichnung,"Klinger, Max",10,2
264,Sonette,"Camões, Luiz",15,
265,Grünewalds Handzeichnungen,,10,3
269,"Das kleine Kräuterbuch. Einheimische Heil-, Gewürz- und Duftpflanzen nach der Natur gezeichnet von Willi Harwerth",,20,2
270,Römische Kaisermünzen,,25,
270,Römische Kaisermünzen,,50,
270,Taras Bulba. Roman,,8,2
272,Fabeln des Äsop,,15,
277,DIE ABENTEUER VON DEN SIEBEN SCHWABEN,"Aurbacher, Ludwig",20,
278,Brigitta. Eine Erzählung,"Stifter, Adalbert",20,3
280,Meister Eckhart. Ein Breviarium aus seinen Schriften,,50,
281,Das kleine Blumenbuch,,30,3
282,Der Kreis der Jahreszeiten (Rtusamhara),KALIDASA,8,
285,Das Mädchen vom Moorhof. Erzählung,"Lagerlöf, Selma",10,2
285,Das Mädchen vom Moorhof,"Lagerlöf, Selma",12,
290,Das Purpursegel. Eine Feerie,"Grin, Alexander",12,2
290,Schwanenweiß. Ein Märchenspiel,"Strindberg, August",12,
290,Alte Flämische Lieder,,40,3
293,Die Gespenstersonate,,7,
294,Handzeichnungen,"Klee, Paul",40,
297,Feuer auf See. Geschichten aus der Südsee und den Wäldern des Nordens,"London, Jack",25,
298,Das Leben des Themistokles,PLUTARCH,22,
300,Huttens letzte Tage,"Meyer, Conrad Ferdinand",10,
302,Das Flaschenteufelchen. Eine Erzählung,"Stevenson, Robert Louis",15,2
305,Gedichte,"Platen, August",,
308,"Die sehr schönen Stunden von Jungfer Symforosa, dem Beginchen","Timmermans, Felix",10,2
312,Bekenntnisse des Hochstaplers Felix Krull. Buch der Kindheit,"Mann, Thomas",10,
314,Pique Dame,"Puschkin, Alexander",50,
315,Von dem Fischer und syner Fru. Ein Märchen nach Philipp Otto Runge mit sieben Bildern von Marcus Behmer,,15,
316,Das kleine Baumbuch,,20,2
318,Palmström,"Morgenstern, Christian",8,3
330,Das Sebaldusgrab,"Vischer, Georg Matthäus",30,2
333,Das Leben Kaiser Heinrich des Vierten,,10,
333,Spanisches Liederbuch,"Heyse, Paul",7,
333,Spanisches Liederbuch,"Geibel, Emanuel",7,
334,Die Schicksale Doktor Bürgers. Die Flucht,"Carossa, Hans",8,
336,Reden und Aufsätze,"Hofmannsthal, Hugo",7,
340,Der erste Beernhäuter,,25,
340,Der erste Bärenhäuter,,20,
341,Der lebende Leichnam. Drama in sechs Akten,"Tolstoj, Lew N.",8,
345,Nan oder Über das Seelenleben der Pflanzen,"Fechner, Gustav Theodor",15,
347,Der Sachsenspiegel. Bilder aus der Heidelberger Handschrift. 32 mehrfarbige Tafeln. Einleitung und Bilderläuterungen,,20,2
349,Politisches Gespräch,"Ranke, Leopold",8,2
349,Die Augen des ewigen Bruders. Eine Legende,"Zweig, Stefan",10,2
350,Geistliche Auslegung des Lebens Jesu Christi. Eine Holzschnittfolge des 15. Jahrhunderts,,15,
351,Das kleine Buch der Tropenwunder,,10,3
352,Briefe,"Pfalz, Liselotte",15,2
355,Briefe eines Unbekannten. Eine Auswahl aus den Briefen Alexander von Villers,,8,
359,Detektivgeschichten,,10,
360,ES WAR EINMAL,"Richter, Ludwig",10,
361,Gedichte,"Nietzsche, Friedrich",50,
361,Gedichte,"Nietzsche, Friedrich",8,2
362,Das Triptychon. Von den Heiligen Drei Königen,"Timmermans, Felix",10,3
366,Labyrinthus medicorum (vom Irrgang der Ärzte),THEOPHRASTUS PARACELSUS,9,2
369,Der Revisor. Eine Komödie,,10,
369,Am Herde,BOBORYKIN,30,
371,An die ferne Geliebte. Ein Liederkreis,"Beethoven, Ludwig",150,
372,BEDUINISCHER DIVAN. Lieder aus dem Libyschen Sandmeer,,30,
377,Schwester Scholastica. Novelle,STENDHAL,8,2
378,Die Zechkumpane. Erzählung,"Stevenson, Robert Louis",20,
382,Drei satirische Fabeln,"Katajew, Valentin",12,
384,Der Fuchs. Novelle,"Lawrence, D. H.",15,
386,Das Bildnis,,5,
389,Ein Gastmahl,PLATO,10,
393,RUSSISCHE VOLKSMÄRCHEN,,15,
394,Gedichte. Eine Auswahl der besten Übertragungen,"Verlaine, Paul",50,
400,Der ausgewählten Gedichte erster Teil,"Rilke, Rainer Maria",10,5
403,Pjotr. Roman eines Zaren,KLABUND,8,2
405,Frau Celeste. Eine Erzählung,"Huch, Ricarda",12,
406,Briefe an einen jungen Dichter,"Rilke, Rainer Maria",8,2
408,Kleine Chronik. Vier Erzählungen,"Zweig, Stefan",10,
409,Briefe an eine junge Frau,"Rilke, Rainer Maria",8,
410,Der kleine Wunderbaum. Zwölf Legenden,"Schmidtbonn, Wilhelm",15,
414,Das fremde Fräulein. Zehn Anekdoten,"Schäfer, Wilhelm",8,
417,Ein Bruderzwist in Habsburg. Trauerspiel,"Grillparzer, Franz",30,
417,Das Lächeln der Gioconda. Jung-Archimedes. Zwei Novellen,,10,
418,Ein altes deutsches Weihnachtsspiel,,8,2
419,"Die Frau, die davonritt. Erzählung","Lawrence, D. H.",10,
420,Sankt Nikolaus in Not und andere Erzählungen,"Timmermans, Felix",10,3
422,Bildwerke. Vom Künstler ausgewählt. 28 Tafeln,,12,2
423,Hand-Orakel und Kunst der Weltklugheit,,10,
425,Tiergeschichten,"Löns, Hermann",8,
426,Das Wiesenbuch,"Waggerl, Karl Heinrich",10,5
427,Bergreisegeschichten. Der Gletscher / Die letzte Reise,"Ponten, Josef",10,
433,Geschichte ohne Worte. Ein Roman in Bildern,"Masereel, Franz",25,
433,Geschichte ohne Worte. Ein Roman in Bildern,"Masereel, Franz",13,2
436,Gesang des Abgeschiedenen,"Trakl, Georg",20,
436,Gesang des Abgeschiedenen. Gedichte,"Trakl, Georg",30,4
444,Handzeichnungen,MICHELANGELO,7,
447,Mittelalterliche Brakteaten,"Suhle, Arthur",10,
452,Das Hausbuch IB 452. Bilder aus dem deutschen Mittelalter von einem unbekannten Meister,,8,
452,Das Hausbuch IB 452. Bilder aus dem deutschen Mittelalter von einem unbekannten Meister,,10,2
452,Das Hausbuch IB 452. Bilder aus dem deutschen Mittelalter von einem unbekannten Meister,,15,2
454,Vom Baum des Lebens. Ausgewählte Gedichte,"Hesse, Hermann",10,5
456,Mein Gemüsegarten. Eine nützliche Unterweisung. Mit Anbautabellen,"Nebeltau, Otto",10,
461,Gedichte,"Hofmannsthal, Hugo",12,2
462,Schrift und Buchmalerei der Maya-Indianer,,8,
465,Die chinesische Flöte. Nachdichtungen chinesischer Lyrik,"Bethge, Hans",8,
469,Quellen des Lebens. Umrisse einer Weltanschauung,"Huch, Ricarda",7,
470,Mein Obstgarten. Zu jedermanns Nutzen beschrieben,"Nebeltau, Otto",15,
472,Das Büchlein der ewigen Weisheit,"Seuse, Heinrich",10,
473,Hadlaub. Eine Novelle,"Keller, Gottfried",8,
475,Sagen von Artemis,"Seghers, Anna",8,
477,DEUSCHES HANDWERK IM MITTELALTER. Bilder aus dem Hausbuch der Mendelschen Zwölfbrüderstiftung in Nürnberg,,20,
478,Schein und Sein. Gedichte,"Busch, Wilhelm",10,4
479,Das kalte Herz,"Hauff, Wilhelm",10,2
479,Das kalte Herz,"Hauff, Wilhelm",10,
480,Der ausgewählten Gedichte anderer Teil,"Rilke, Rainer Maria",10,2
483,Die Heiligen von Sichem,"Claes, Ernest",8,
485,Von der Freiheit des Wortes,"Bertram, Ernst",10,2
488,GRIECHISCHE LYRIK,,10,
491,Sonnenbrot,"Voigt-Diederichs, Helene",10,
492,Japanischer Frühling. Nachdichtungen japanischer Lyrik,"Bethge, Hans",8,
493,Die Leiden des jungen Werthers. In der Urfassung von 1774,"Goethe, Johann Wolfgang",15,
494,Das kleine Rätselbuch. Deutsche Volksrätsel,,10,
495,Der Bordesholmer Altar,,10,2
496,Dichtungen des Michelangelo,,15,
496,Dichtungen des Michelangelo,,10,
499,Dichtung und Weisheit,TSCHUANG-TSE,8,2
499,Dichtung und Weisheit,TSCHUANG-TSE,8,
500,Gedichte. Vom Dichter ausgewählt,"Carossa, Hans",10,
500,Gedichte. Vom Dichter ausgewählt,"Carossa, Hans",12,2
502,Klingsors letzter Sommer. Erzählung,"Hesse, Hermann",5,
503,Das kleine Pilzbuch. Einheimische Pilze nach der Natur gezeichnet von Willi Harwerth,,,
504,Balladen,"Hermlin, Stephan",15,
504,Ein Deutscher. Kleine Schriften,"Koch, Rudolf",,
505,DIE BILDWERKE DES NAUMBURGER DOMES,,8,
507,Hernach. 59 Illustrationen nach den Handzeichnungen,"Busch, Wilhelm",40,2
509,KUDRUN,,15,
510,Der Petersiliengarten. Ein Märchen,"Schaumann, Ruth",8,
511,Jugend. Erzählung,"Conrad, Joseph",12,2
512,DEUTSCHE GEDICHTE IB 512,,12,
515,DAS KLEINE BUCH DER GREIFE. Einheimische Raubvögel,,15,
516,Briefe Mozarts,,13,
518,Der Heilige Abend. <<Bergkristall>>,"Stifter, Adalbert",10,3
519,Kierkegaard-Brevier,,6,2
520,Fujiyama. Der ewige Berg Japans,,8,4
522,Kalendergeschichten,"Waggerl, Karl Heinrich",10,3
523,Vom Nutzen und Nachteil der Historie für das Leben,"Nietzsche, Friedrich",10,
525,Gedichte,,50,2
526,HUTTEN DER DEUTSCHE. Gedichte Aus der Türkenrede Arminius,,10,
528,Briefe,"Keller, Gottfried",12,
529,Latinische Gärten. Römische Lyrik in Übersetzungen. Eine Auslese römischer Gedichte,,13,
531,Weihnachten in Brabant. Erzählungen,"Coolen, Anton",10,
532,Fragmente aus dem Nachlaß eines jungen Physikers,"Ritter, Johann Wilhelm",10,
533,Die Opferflamme. Erzählung,"Lefort, Gertrud",10,
535,Edward Munch. Graphik. 42 Bildtafeln,,20,
537,Betrachtungen. Oder moralische Sentenzen und Maximen des Herzogs von La Rochefoucauld,,10,
539,Adalbert Stifter,"Mell, Max",12,2
540,Elisabeth Tarakanow. Erzählung,"Schneider, Reinhold",10,
544,Briefe der Frau Rat Goethe,,30,2
545,Tilman Riemenschneider im Taubertal,,10,3
548,Der Kentaur,"Guérin, Maurice",15,
549,Das deutsche Wild,"Brehm, Alfred",15,
550,Aus dem Gebetbuch Kaiser Maximilians,"Dürer, Albrecht",10,5
551,Böhme-Brevier,,30,2
551,Die Kickleburys am Rhein,"Thackeray, William Makepeace",8,
554,Das Leben des Michelangelo Buonaroti. Beschrieben von seinem Schüler Ascanio Condivi,"Condivi, Ascanio",10,
555,Handzeichnungen. 24 farbige Tafeln mit einem Geleitwort von Hans Wahl,,40,2
561,Amor und Psyche,APULEJUS,12,
562,Bluthochzeit. Lyrische Tragödie in drei Akten und sieben Bildern,"Lorca, Federico",12,2
563,Antoinette. Erzählung,"Rolland, Romain",6,
565,Der Elisabethschrein in Marburg,,15,
566,Zigeuner-Romanzen,"Lorca, Federico",8,
566,Zigeuner-Romanzen,"Lorca, Federico",15,
567,Tierstudien. 36 Handzeichnungen und eine Vignette,,20,2
568,Der Sturm,,8,
570,Francisco Goya. Pinselzeichnungen. 32 Bildtafeln,,15,2
573,Einsichten. Aus den Schriften gesammelt,"Buber, Martin",10,3
577,Die Kunst der Letter,"Kleukens, Christian Heinrich",30,
577,Frauen. 32 Radierungen,"Matisse, Henri",25,2
578,Platero und ich. Andalusische Elegie,"Jimenez, Juan Ramon",,2
581,Epigramme,"Lessing, Gotthold Ephraim",8,
582,Die Mänaden,EURIPIDES,12,
592,Gedichte,"Rimbaud, Arthur",15,4
593,Von den Elementen der menschlichen Größe,"Kassner, Rudolf",10,
594,Henry de Toulouse-Lautrec. Lithographien. 38 Bildtafeln,,50,2
598,Shen-Schen. Die Wurzel des Lebens,"Prischwin, Michail M.",8,
604,Hirtenleben,"Maillol, Aristide",10,
605,Das Salzburger große Welttheater,"Hofmannsthal, Hugo",12,3
605,Regen in der Morgendämmerung. Erzählungen,,7,
606,DEUTSCHE HOLZSCHNITTE DES XX. JAHRHUNDERTS,,50,
608,"Holzfäller, wach auf ! Hymnus auf den Frieden","Neruda, Pablo",8,
611,Japanische Farbenholzschnitte,,15,2
612,Griechische Gemmen,,15,
613,Die Kinder der Kaiserin,"Liotard, Jean-Etienne",15,
615,Die Consolata,"Le Fort, Gertrud",10,
616,Sibyllen und Propheten. 24 farbige Bilder nach den Fresken in der Sixtinischen Kapelle,MICHELANGELO,10,5
618,Klein Zaches genannt Zinnober. Ein Märchen,"Hoffmann, E. T. A.",10,
618,Jahrhundertmitte. Deutsche Gedichte der Gegenwart,,8,
619,Castel del Monte. Die Krone Apuliens,,12,2
620,Der Ketzer von Soana,"Hauptmann, Gerhart",7,
621,Die Steinklopfer. Erzählung,"Saar, Ferdinand",8,
624,Eine Hochzeit ohne Musikanten. Erzählungen,"Alejchem, Scholem",10,
624,Eine Hochzeit ohne Musikanten. Erzählungen,SCHOLEM-ALEJCHEM,12,
625,Boris Godunow,"Puschkin, Alexander",,
626,Carmina Burana,,15,2
628,Geschichten von Rot-Hanrahan,"Yeats, William Butler",10,
629,Rotes Meer und gelbe Schiffe. 16 Farbtafeln nach Aquarellen des Künstlers,"Feininger, Lionel",15,
630,FRÜHE ITALIENISCHE TAFELBILDER. 20 Meisterwerke des Lindenau-Museums in Altenburg,,16,
632,Aljoschkas Herz. Fremdes Blut. Zwei Erzählungen,"Scholochow, Michail",8,
636,Farbige Pinselzeichnungen,"Ch'I, Po-shih",17,
636,Farbige Pinselzeichnungen,"Ch'I, Po-shih",12,
637,Meerfahrt mit Don Quijote,"Mann, Thomas",15,
638,Eine Welt schreibt an Goethe,,7,
639,Stationen des Glaubens. Aus den Schriften gesammelt,"Buber, Martin",20,3
640,Italienische Skizzen,"Blechen, Carl",20,
