composite_id,display_name,sort_order,is_author,is_editor,is_contributor,is_translator,is_organisation,display_norm,last,first,single,original_entry,verification_notes
wien_210_9_10,"ROMMEL, Otto",1,True,False,False,False,False,"rommel, otto",ROMMEL,Otto,,"ROMMEL, Otto
Ein Jahrhundert Alt-Wiener Parodie. Herausgegeben von … Wien Österreichischer Bundesverlag 1930. 285 S. OLn.","The entry states 'Herausgegeben von …' but no editor name follows the ellipsis. missing_person flag set accordingly. Note: ROMMEL, Otto is listed as the main entry (author/compiler), but the 'Herausgegeben von …' suggests an editor role may be missing or that Rommel himself is the editor with the name omitted by the cataloger."
briefe_45_2_15,"Rommel, Otto",2,False,True,False,False,False,"rommel, otto",Rommel,Otto,,"NESTROY, Johann
Sämtliche Werke. Historisch-kritische Gesamtausgabe in zwölf Bänden. Herausgegeben von Fritz Brukner und Otto Rommel. Wien Schroll.
Die Zauberspiele. Erster Teil mit drei Bildbeilagen. 1924. XV. 712 S
Die Zauberspiele. Zweiter Teil mit vier Bildbeilagen. 1924. 772 S.
Die Parodien. Erster Teil mit fünf Bildbeigaben. 1925. 572 S.
Die Parodien. Zweiter Teil mit neun Bildbeigaben. 1925. 418 S.
Die politischen Komödien. Mit neunzehn Bildbeigaben. 1925. 750 S. (ab jetzt 'unter Mitwirkung von Adolf Hoffmann')
Die Volksstücke. Erster Teil. Mit vier Bildbeilagen. 1926. 599 S. (ab jetzt fehlt Zusatz 'in zwölf Bänden')
Die Volksstücke. Zweiter Teil. Mit fünf Bildbeilagen. 1926. 557 S.
Die Volksstücke. Dritter Teil. Mit einer Bildbeilage. 1926. 563 S.
Die Possen. Erster Teil. Mit dreizehn Bildbeilagen. 1927. 625 S.
Die Possen. Zweiter Teil. Mit sieben Bildbeilagen. 1927. 656 S.
Die Possen. Dritter Teil. Mit vier Bildbeilagen. 1928. 647 S.
Die Possen. Vierter Teil. Mit zwei Bildbeilagen. 1929. 686 S. (ab jetzt fehlt Hoffmann als Hg. Auf letzter Seite Nachruf auf den Toten).
Die Possen. Fünfter Teil. Mit acht Bildbeilagen. 1929. 717 S.
Die Possen. Sechster Teil. Mit vier Bildbeilagen. 1930. 744 S.
Johann Nestroy. Ein Beitrag zur Geschichte der Wiener Volkskomik von Otto Rommel. Mit neunzehn Bildbeigaben. 1930. XVIII, 804 S.
Originalleinenbände. Alle Bände verlagsfrisch.","Die Gesamtausgabe ist auf dem Titelblatt als 'in zwölf Bänden' angekündigt, umfasst aber tatsächlich 15 beschriebene Inhaltsbände plus einen abschließenden Kommentarband (Rommel-Monographie), also 16 Bände insgesamt. Ab Band 6 fehlt der Zusatz 'in zwölf Bänden' auf den Titelblättern. Die Bandnummern sind im Eintrag nicht explizit angegeben; die hier vergebenen Nummern 1–16 folgen der Reihenfolge der Beschreibung. Band 16 ist im Eintrag nicht beschrieben — es ist unklar, ob ein 16. Band existiert oder ob die Zählung bei 15 endet. Der letzte beschriebene Band (Rommel-Monographie, 1930) könnte als Ergänzungsband außerhalb der Hauptreihe stehen. Menschliche Überprüfung der Bandstruktur empfohlen."
wien_220_9_10,"STIGLER-FUCHS, Margarete von",1,True,False,False,False,False,"stigler-fuchs, margarete von",STIGLER-FUCHS,Margarete von,,"STIGLER-FUCHS, Margarete von
Wiener Theater vor und hinter den Kulissen. Mit Zeichnungen von Elfriede Cerny. Wien Andermann Verlag 1945. 194 S. OPbd.",
wien_221_9_10,"STIGLER-FUCHS, Margarete von",1,True,False,False,False,False,"stigler-fuchs, margarete von",STIGLER-FUCHS,Margarete von,,"STIGLER-FUCHS, Margarete von
Der unsterbliche Hanswurst. Wiener Theateranekdoten. Berlin Bischof Verlag 1944. 210 S. OBrosch.",
erstausgaben_1473_59_78,"Renolder, Klemens",1,False,True,False,False,False,"renolder, klemens",Renolder,Klemens,,"ZWEIG, Stefan
'Ich habe das Bedürfnis nach Freunden'. Erzählungen, Essays, und unbekannte Texte. Klemens Renolder (Hg.) unter Mitarbeit von Elisabeth Fritz. Mit Fotos auf Tafeln. Wien Styria Premium. 520 S. OPbd. m. OU","No publication year is given in the entry. The title uses a single apostrophe (') rather than German quotation marks, which has been preserved as-is. The book appears to be a posthumous anthology edited by Klemens Renolder with assistance from Elisabeth Fritz; this matches a known Styria Premium publication, but without a year the record cannot be fully verified."
erstausgaben_1473_59_78,"Fritz, Elisabeth",1,False,False,True,False,False,"fritz, elisabeth",Fritz,Elisabeth,,"ZWEIG, Stefan
'Ich habe das Bedürfnis nach Freunden'. Erzählungen, Essays, und unbekannte Texte. Klemens Renolder (Hg.) unter Mitarbeit von Elisabeth Fritz. Mit Fotos auf Tafeln. Wien Styria Premium. 520 S. OPbd. m. OU","No publication year is given in the entry. The title uses a single apostrophe (') rather than German quotation marks, which has been preserved as-is. The book appears to be a posthumous anthology edited by Klemens Renolder with assistance from Elisabeth Fritz; this matches a known Styria Premium publication, but without a year the record cannot be fully verified."
musik_132_6_11,"Becker, Hartmut",1,False,True,False,False,False,"becker, hartmut",Becker,Hartmut,,"SPOR, Louis
Festschrift und Ausstellungskatalog zum 200. Geburtstag. Herausgegeben von Hartmut Becker und Rainer Krempien. Kassel Wenderoth Verlag 1984. 288 S. Mit zahlr. Abb.a.Taf. und Notenbeispielen im Text. OBrosch. Neu.","The entry heading reads 'SPOR, Louis', which is a clear typo for 'SPOHR, Louis' (1784–1859), the German composer and violinist. Corrected to 'SPOHR' in the subject context. Note: Louis Spohr is the subject of this Festschrift, not an author or editor, so no author field was populated for him."
musik_132_6_11,"Krempien, Rainer",2,False,True,False,False,False,"krempien, rainer",Krempien,Rainer,,"SPOR, Louis
Festschrift und Ausstellungskatalog zum 200. Geburtstag. Herausgegeben von Hartmut Becker und Rainer Krempien. Kassel Wenderoth Verlag 1984. 288 S. Mit zahlr. Abb.a.Taf. und Notenbeispielen im Text. OBrosch. Neu.","The entry heading reads 'SPOR, Louis', which is a clear typo for 'SPOHR, Louis' (1784–1859), the German composer and violinist. Corrected to 'SPOHR' in the subject context. Note: Louis Spohr is the subject of this Festschrift, not an author or editor, so no author field was populated for him."
musik_142_6_11,"WASIELEWSKI, Wilh. Jos. v.",1,True,False,False,False,False,"wasielewski, wilh. jos. v.",WASIELEWSKI,Wilh. Jos. v.,,"WASIELEWSKI, Wilh. Jos. v.
Das Violoncell und seine Geschichte Dritte, vermehrte Auflage von Waldemar von Wasielewski. Leipzig Breitkopf & Härtel 1925. VI, 289 S. Neudruck 1981. OLn.",The entry mentions a 'Neudruck 1981' alongside the main 1925 edition. The 1925 edition is treated as the primary record. The 1981 reprint is noted here as a secondary edition reference.
musik_142_6_11,"Wasielewski, Waldemar von",1,False,False,True,False,False,"wasielewski, waldemar von",Wasielewski,Waldemar von,,"WASIELEWSKI, Wilh. Jos. v.
Das Violoncell und seine Geschichte Dritte, vermehrte Auflage von Waldemar von Wasielewski. Leipzig Breitkopf & Härtel 1925. VI, 289 S. Neudruck 1981. OLn.",The entry mentions a 'Neudruck 1981' alongside the main 1925 edition. The 1925 edition is treated as the primary record. The 1981 reprint is noted here as a secondary edition reference.
