topic_id,topic_name,created_at,topic_normalised
4,Fremdsprachige Literatur in Übersetzungen,2026-01-26 19:54:20.451008,fremdsprachige
5,Symbolkunde,2026-01-26 19:54:20.451008,symbolkunde
6,"Reisen, Geographie",2026-01-26 19:54:20.451008,reisen
7,Christentum,2026-01-26 19:54:20.451008,christentum
8,Deutsche Literatur: Monographien,2026-01-26 19:54:20.451008,de-lit-monographien
9,Russland,2026-01-26 19:54:20.451008,russland
10,Deutschland,2026-01-26 19:54:20.451008,deutschland
11,"Ägypten, Vorderer Orient",2026-01-26 19:54:20.451008,aegypten
12,Suchliste,2026-01-26 19:54:20.451008,suchliste
13,Deutsche Literatur: Texte,2026-01-26 19:54:20.451008,de-lit-texte
14,"Ethnologie, Psychologie, Naturwissenschaft",2026-01-26 19:54:20.451008,ethnologie
15,Esoterik,2026-01-26 19:54:20.451008,esoterik
16,"Buddhismus, Hinduismus",2026-01-26 19:54:20.451008,buddhismus
17,Österreich,2026-01-26 19:54:20.451008,oesterreich
18,Antike Texte,2026-01-26 19:54:20.451008,antike
19,Bibliophile Bücher,2026-01-26 19:54:20.451008,bibliophile
20,Judentum,2026-01-26 19:54:20.451008,judentum
21,"Briefe, Tagebücher, Werke",2026-01-26 19:54:20.451008,briefe
22,"Buch, Verlag, Almanache",2026-01-26 19:54:20.451008,buch
23,Märchen,2026-01-26 19:54:20.451008,maerchen
24,Kunstbücher,2026-01-26 19:54:20.451008,kunstbuecher
25,Frühes Christentum,2026-01-26 19:54:20.451008,fruehes
26,Geschichte Allgemein: Länder,2026-01-26 19:54:20.451008,geschichte
27,Erstausgaben,2026-01-26 19:54:20.451008,erstausgaben
28,Religion Allgemein,2026-01-26 19:54:20.451008,religion
29,Renaissance,2026-01-26 19:54:20.451008,renaissance
30,"Sonstiges, Bildbände, Kataloge, Atlanten",2026-01-26 19:54:20.451008,sonstiges
31,Literatur-Und Sprachwissenschaft,2026-01-26 19:54:20.451008,literatur
32,Autographen,2026-01-26 19:54:20.451008,autographen
33,"Zeitgeschichte, Reportagen",2026-01-26 19:54:20.451008,zeitgeschichte
34,Musik und Theater,2026-01-26 19:54:20.451008,musik
35,Signierte Exemplare,2026-01-26 19:54:20.451008,signierte
36,Wien,2026-01-26 19:54:20.451008,wien
37,Neuzeit,2026-01-26 19:54:20.451008,neuzeit
38,Islam,2026-01-26 19:54:20.451008,islam
39,Insel-Bücherei,2026-01-26 19:54:20.451008,insel
40,Mythologie,2026-01-26 19:54:20.451008,mythologie
41,Zeitschriften,2026-01-26 19:54:20.451008,zeitschriften
42,Biographie,2026-01-26 19:54:20.451008,biographie
43,Illustrierte Bücher,2026-01-26 19:54:20.451008,illustrierte
44,"Griechenland, Rom",2026-01-26 19:54:20.451008,griechenland
45,Monographien Fremdsprachiger Autoren,2026-01-26 19:54:20.451008,monographien
46,Philosophie,2026-01-26 19:54:20.451008,philosophie
1,"Okkultismus, Geheimwissenschaften",2026-01-26 19:54:20.451008,okkultismus
2,Mittelalter,2026-01-26 19:54:20.451008,mittelalter
3,Kinder- und Jugendliteratur,2026-01-26 19:54:20.451008,kinder
